cluster,sugar_g,sfat_perc,chol_perc,fat_perc,protein_g,carbs_perc,salt_perc,productName
cluster5,15.00,0.00,0.00,0.00,2.50,7.50,31.25,"Hengstenberg Mildly Spiced Rotessa Red Cabbage"
cluster5,20.00,0.00,0.00,0.00,0.00,6.67,26.67,"Heinz Hot Dog Relish"
cluster5,20.00,0.00,0.00,0.00,0.00,8.00,24.00,"KC Masterpiece Honey Barbecue Sauce"
cluster5,20.00,0.00,0.00,0.00,0.00,8.33,20.00,"President's Choice Memories of Canton Plum Sauce"
cluster5,20.00,0.00,0.00,0.00,0.00,8.89,15.56,"Jell-O Instant Limited Edition Pumpkin Spice Pudding &amp; Pie Filling"
cluster2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Chloraseptic Oral Anesthetic / Analgesic Sore Throat Gargle"
cluster2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Coca-Cola Diet Cherry Coke Soda"
cluster2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Crystal Light On The Go Sugar Free Raspberry Ice Drink Mix"
cluster2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"McCormick California Style Minced Garlic"
cluster2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Parkay Fat Free Vegetable Oil Spread Spray"
cluster2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Wild Thymes Caribbean Peach Lime Chutney"
cluster3,0.00,0.00,0.00,0.00,0.00,0.00,6.67,"Alpine Sugar Free Spiced Cider Apple Flavor Drink Mix"
cluster3,0.00,0.00,0.00,0.00,1.58,6.84,0.53,"Uncle Ben's Ready Rice Original Long Grain"
cluster3,0.00,0.00,0.00,0.00,1.85,7.41,0.00,"Streit's Matzo Crackers"
cluster3,0.00,0.00,0.00,0.00,2.00,4.00,2.00,"Cream of Wheat Whole Grain Hot Cereal"
cluster3,0.00,0.00,0.00,0.00,2.86,2.86,2.86,"Orville Redenbacher's Kettle Korn Popcorn"
cluster3,0.00,0.00,0.00,0.00,5.71,4.29,8.57,"Freihofer's Carb Consider Wheat Bread"
cluster3,0.00,0.00,0.00,0.00,6.36,0.00,7.27,"Lowe's Shredded Mild Cheddar Cheese"
cluster3,0.00,0.00,0.00,6.67,0.00,3.33,10.00,"Mrs. Cubbison's Seasoned Restaurant Style Croutons"
cluster3,0.53,0.00,0.00,0.00,4.21,1.05,0.00,"Arrowhead Mills Organic Valencia Crunchy Peanut Butter"
cluster3,0.71,7.14,2.14,4.29,2.86,5.71,4.29,"Super Pretzel Onion Veggie Cream Cheese Filled Soft Pretzel Sticks"
cluster3,0.91,0.00,0.00,1.82,3.64,6.36,5.45,"Tumaro's Tortillas Garden Spinach &amp; Herb Homestyle Organic Flour Tortillas"
cluster3,0.95,0.00,0.00,0.95,3.33,6.67,0.00,"Golden Grain Enriched Spaghetti Pasta"
cluster3,0.95,0.00,0.00,0.95,3.33,6.67,0.48,"Wegmans Rainbow Rotini Pasta"
cluster3,10.00,0.00,0.00,0.00,0.91,8.18,5.45,"Kellogg's Frosted Flakes Cereal"
cluster3,10.00,0.00,0.00,3.85,1.54,6.92,3.08,"Wegmans Fruit &amp; Grain Apple Cinnamon Cereal Bars"
cluster3,11.54,0.00,5.38,8.46,2.31,3.85,0.77,"Breyers All Natural Vanilla &amp; Chocolate Ice Cream"
cluster3,2.00,0.00,0.00,0.00,2.00,8.00,2.00,"Wegmans Hash Brown's O'Brien"
cluster3,2.22,0.00,0.00,0.00,2.22,4.44,6.67,"Pringles Stix Crispy Honey Butter Flavored Baked Wheat Cracker Sticks"
cluster3,2.50,0.00,0.00,0.00,2.50,7.50,7.50,"Kellogg's Corn Flake Crumbs"
cluster3,2.50,2.08,0.00,5.83,1.67,5.00,7.92,"Lifestream Organic 8 Grain Sesame Toaster Waffles"
cluster3,3.53,0.00,0.00,0.00,1.76,4.71,3.53,"Honey Bunchs of Oats Cereal with Almonds"
cluster3,4.62,0.00,0.00,0.00,2.31,5.38,5.38,"Thomas' Cinnamon Swirl Toasting Bread"
cluster3,5.00,0.00,0.00,4.29,1.43,0.00,4.29,"Keebler Honey Graham Crackers"
cluster3,5.71,0.00,0.00,0.00,1.43,5.00,3.57,"Annie's Homegrown Chocolate Chip Bunny Grahams Crackers"
cluster3,6.67,0.00,0.00,0.00,0.00,0.00,1.67,"Birds Eye Steamfresh Mixed Vegetables"
cluster3,6.67,0.00,0.00,0.00,1.11,5.56,4.44,"Quaker Chocolatey Drizzle Multigrain Cakes"
cluster3,8.18,0.00,0.00,0.91,2.27,0.00,1.36,"Carnation Dark Chocolate Instant Breakfast Drink Mix"
cluster3,8.57,0.00,0.00,0.00,5.71,5.71,0.00,"Gerber 1st Foods Organic Sweet Peas Baby Food - 2 Pack"
cluster3,8.57,0.00,0.00,4.29,8.57,4.29,7.14,"Silk Light Lactose Free Plain Soymilk"
cluster3,8.89,5.56,0.00,0.00,1.11,6.67,4.44,"Kellogg's Rice Krispies Treats Crispy Marshmallow Squares"
cluster3,9.00,0.00,2.00,3.00,1.00,5.00,3.00,"Tastykake 100 Calorie Cookie Sticks, Fudge Brownie"
cluster3,9.00,5.00,0.00,0.00,1.00,6.00,4.00,"Wegmans Oatmeal Soft Cookies"
cluster3,9.58,6.25,0.00,0.00,5.83,5.00,2.50,"Genisoy Diet Chocolate Mint Supplement Protein Bar"
cluster4,0.00,0.00,0.00,0.00,0.00,0.00,260.00,"McCormick Ranch Snack Dip Mix"
cluster4,0.00,0.00,0.00,12.00,0.00,0.00,40.00,"Terra Medi Mixed Olives"
cluster4,0.00,0.00,0.00,20.00,10.00,0.00,410.00,"Knorr Extra Large Fish Flavor Bouillon"
cluster4,0.00,0.00,11.11,0.00,0.00,0.00,44.44,"Citterio Genuine Prosciutto di Parma"
cluster4,0.00,0.00,5.00,12.50,2.50,2.50,32.50,"Taco Bell Home Original Mild Con Queso Salsa"
cluster4,0.00,0.00,7.50,7.50,2.50,2.50,50.00,"McCormick Country Herb Chicken Sauce Blend"
cluster4,10.00,0.00,0.00,0.00,2.50,7.50,50.00,"Sylvia's Restaurant Specially-Seasoned Turnip Greens"
cluster4,10.00,0.00,0.00,0.00,5.00,5.00,70.00,"S &amp; W Premium Quality Whole Green Beans"
cluster4,13.33,0.00,0.00,0.00,0.00,6.67,40.00,"Pace Tequila Lime Salsa"
cluster4,13.33,0.00,0.00,0.00,0.00,6.67,53.33,"Wegmans Medium Lime &amp; Garlic Salsa"
cluster4,2.50,0.00,5.00,12.50,5.00,2.50,55.00,"Uno's Chicago Grill Buffalo Garlic Romano Sauce"
cluster4,2.73,0.00,0.00,0.00,3.64,5.45,36.36,"President's Choice 3-Bean Minestrone Soup"
cluster4,6.67,0.00,5.00,0.00,8.33,3.33,35.00,"Rienzi Red Clam Italian Pasta Sauce"
cluster4,7.78,5.56,0.00,6.67,2.22,4.44,32.22,"Albertson's Spaghetti Sauce with Mushrooms"
cluster5,0.00,0.00,0.00,0.00,0.00,11.43,11.43,"Sweet 'N Low Sugar Free International Coffee Flavors Hard Candy"
cluster5,0.00,0.00,0.00,1.82,2.73,0.00,17.27,"Herr's One Pounder Sourdough Pretzels"
cluster5,0.00,0.00,0.00,5.62,1.25,5.00,11.25,"Ore-Ida Extra Crispy Fast Food French Fries"
cluster5,0.48,0.00,1.43,6.67,4.76,3.81,8.57,"Fisher Boy Crunchy Fish Sticks"
cluster5,0.91,0.00,0.00,1.82,1.82,7.27,15.45,"Newman's Own Organics Traditional Thin Pretzels"
cluster5,1.00,0.00,0.00,1.00,2.50,7.00,21.50,"Luzianne Cajun Stew Etouffee Dinner Kit"
cluster5,1.00,0.00,4.00,4.00,7.67,3.67,8.00,"Healthy Choice Grilled Chicken Caesar"
cluster5,1.11,0.00,14.44,12.22,5.56,0.00,20.00,"Armour Lite 50% Less Fat Vienna Sausage"
cluster5,1.25,0.00,0.00,0.00,2.50,5.62,11.25,"Butterball One-Step Seasoned Stuffing"
cluster5,1.33,0.00,1.33,8.00,2.00,4.00,8.00,"Pirate Brands Real Wisconsin Cheese Smart Puffs Snack"
cluster5,1.38,10.34,4.48,4.83,7.24,3.45,11.03,"President's Choice Blue Menu Reduced Fat Shepherd's Pie"
cluster5,1.50,2.50,1.00,1.50,2.50,7.00,16.50,"Uncle Ben's Country In Broccoli Rice Au Gratin"
cluster5,1.67,0.00,0.00,1.11,2.78,7.22,17.22,"Seeds of Change Certified Organic Moroccan Lentil Rice Pilaf"
cluster5,2.00,0.00,0.00,5.00,2.00,6.00,9.00,"Nabisco Kid Sense Fun Packs Smilin' Ritz Bits Crackers"
cluster5,2.00,0.00,0.00,6.00,1.33,4.67,8.67,"Pepperidge Farm Giant Goldfish Buttery Flavor Baked Snack Crackers"
cluster5,2.07,0.00,3.45,3.10,5.86,4.83,11.38,"President's Choice Blue Menu Barley Risotto with Herbed Chicken"
cluster5,2.31,0.00,0.00,1.54,3.08,6.92,10.00,"Hodgson Mill Whole Wheat Buttermilk Pancake Mix"
cluster5,2.50,0.00,15.00,11.25,1.25,0.00,20.00,"Francesco Rinaldi Sun-Dried Tomato Alfredo Pasta Sauce"
cluster5,2.73,2.27,1.36,2.27,6.82,5.45,16.36,"Cento Ready to Serve Split Pea Soup with Prosciuto Ham"
cluster5,3.16,2.63,14.21,4.21,10.00,3.16,12.11,"President's Choice Blue Menu Chicken Curry"
cluster5,3.75,4.17,7.50,4.58,7.50,3.75,14.58,"Hale &amp; Hearty Soups Small Turkey Chili"
cluster5,5.00,0.00,0.00,5.00,5.00,5.00,27.50,"Allens Green Bean Casserole"
cluster6,13.06,7.21,2.97,3.60,2.25,5.77,1.35,"McDonald's Vanilla Triple Thick &amp; Shake"
cluster6,13.75,0.00,0.00,0.00,1.88,7.50,0.62,"Black Forest Gummy Worms"
cluster6,14.62,15.38,0.00,6.15,0.77,5.38,0.77,"Sun-Maid Vanilla Yogurt Raisins"
cluster6,14.67,3.33,0.00,0.00,1.33,6.00,4.67,"Hershey's Goodnight Kisses Hot Cocoa Mix"
cluster6,15.00,0.00,0.00,0.00,0.00,6.67,0.00,"St. Dalfour 100% Black Raspberry Fruit Spread"
cluster6,15.00,0.00,0.00,5.71,0.00,5.00,2.14,"Duncan Hines Homestyle Buttercream Frosting"
cluster6,15.45,4.55,1.82,2.73,4.55,5.45,2.73,"Activia Fiber Nonfat Peach &amp; Cereal Yogurt"
cluster6,18.00,0.00,0.00,0.00,0.00,8.00,1.00,"Albertson's Frozen Kiwi Raspberry Juice Concentrate"
cluster6,18.00,0.00,0.00,0.00,2.00,8.00,9.00,"ShopRite Chocolate Pudding Snacks"
cluster6,18.33,0.00,0.00,0.00,0.00,8.33,0.83,"Lowe's Cinnamon Applesauce - 6 Pack"
cluster6,20.00,0.00,0.00,0.00,0.00,10.00,0.00,"Wrigley Big Red Cinnamon Gum"
cluster6,20.00,0.00,0.00,0.00,0.00,8.00,1.00,"Capri Sun 100% Berry Breeze Juice"
cluster6,21.33,0.00,0.00,0.00,0.00,7.33,0.00,"Junior Mints Candy - Snack Size"
cluster6,22.73,0.00,0.00,0.00,0.91,7.27,0.91,"After The Fall Organic Tropical Punch Juice Blend"
cluster6,24.00,0.00,0.00,0.00,0.00,8.00,8.00,"Red Bull Energy Shot with Taurine"
cluster6,25.00,0.00,0.00,0.00,0.00,9.00,1.00,"Hi-C Blast Blue Watermelon Pouches - 10 Pack"
cluster6,25.56,0.00,0.00,0.00,0.00,8.89,1.11,"Tang Orange Flavored Drink Mix"
cluster6,25.83,0.00,0.00,0.00,0.00,9.17,0.83,"Minute Maid All Natural Lemonada - Limeade Juice"
cluster6,27.27,0.00,0.00,0.00,0.00,9.09,2.73,"Mountain Dew Code Red Soda"
cluster7,0.00,0.00,0.00,17.78,0.00,0.00,8.89,"Brummel &amp; Brown Vegetable Oil Spread made with Yogurt"
cluster7,0.00,0.00,2.00,17.33,0.00,0.00,6.00,"Carb Options Ranch Salad Dressing"
cluster7,0.00,10.00,0.00,10.00,1.33,3.33,5.33,"Wise Party Size Potato Chips"
cluster7,0.00,10.00,2.00,17.00,0.00,0.00,3.00,"Wegmans Classic Mayonnaise"
cluster7,0.00,11.11,0.00,16.67,0.00,0.00,4.44,"Weis Vegetable Oil Spread With Sweet Cream Buttermilk"
cluster7,0.00,18.75,6.25,11.25,8.75,0.00,10.00,"Wegmans String Cheese"
cluster7,0.00,3.33,0.00,7.33,2.00,4.00,6.67,"Annie's Homegrown Organic Cheddar Bunnies Crackers - Family Size"
cluster7,0.00,4.17,0.00,9.17,0.83,0.00,8.33,"ShopRite Hashbrowns"
cluster7,0.00,4.55,0.00,12.73,0.00,0.00,20.91,"Bob's Red Mill Wheat Free Biscuit &amp; Baking Mix"
cluster7,0.00,5.56,0.00,6.57,6.16,3.03,0.00,"Lo Mein Beef"
cluster7,0.00,7.69,0.00,6.15,1.54,4.62,6.15,"Newman's Own All Natural Butter Flavored Microwave Popcorn"
