Description,URL,Ingredients,Serving Size,Servings Per Container,Calories,Calories from Fat,Total Carbohydrate - Grams,Total Carbohydrate - Percent,Sugars  - Grams,Dietary Fiber  - Grams,Dietary Fiber  - Percent,Total Fat - Grams,Total Fat - Percent,Saturated Fat  - Grams,Saturated Fat  - Percent,TransFat  - Grams,Protein - Grams,Sodium - Milligrams,Sodium - Percent,Cholesterol - Milligrams,Cholesterol - Percent,PackageWeight
Hengstenberg Mildly Spiced Rotessa Red Cabbage,http://www.foodfacts.com/members/item_info.cfm?item=19408,"Cabbage Red,Sugar,Vinegar,Salt,Spice(s)",1 cup (130g),5,80,0,18,6,12,3,12,0,0,0,0,0,2,610,25,0,0,24 oz.
Wegmans Medium Lime &amp; Garlic Salsa,http://www.foodfacts.com/members/item_info.cfm?item=40851,"Tomato(es) Puree,Water,Tomato(es) Paste,Citric Acid,Tomato(es) Diced,Onion(s),Pepper(s) Bell Green,Pepper(s) Jalapeno(s),Sugar,Lime Concentrate,Salt,Garlic,Vinegar,Soybean(s) Oil,Flavor(s) Natural,Spice(s)",2 tbsp.,13,15,0,3,1,2,0,0,0,0,0,0,0,0,180,8,0,0,16 oz.
St. Dalfour 100% Black Raspberry Fruit Spread,http://www.foodfacts.com/members/item_info.cfm?item=17360,"Raspberry(ies) Black,Grape(s) Juice Concentrated,Fruit Pectin,Lemon(s) Juice",1 tbsp (19g),15,60,0,11,4,9,0,0,0,0,0,0,0,0,0,0,0,0,10 oz.
Kellogg's Rice Krispies Treats Crispy Marshmallow Squares,http://www.foodfacts.com/members/item_info.cfm?item=36097,"Rice Toasted Cereal,Rice,Sugar,Corn Syrup High Fructose,Flavoring Malt,Niacinamide (Vitamin aB),Salt,Folic Acid (Vitamin aB),Iron Reduced,Riboflavin (Vitamin B2),Vitamin B2,Marshmallow,Corn Syrup,Sugar,Flavor(s) Artificial,Gelatin,Corn Syrup Solids,Contains 22% or less,Dextrose,Fructose,Margarine,Vegetable(s) Oil,Canola Oil,and/or,Sunflower Oil,Cottonseed Oil Hydrogenated,Cottonseed Oil Partially Hydrogenated,Soybean(s) Oil Partially Hydrogenated,and/or,TBHQ,Tocopherols Mixed (Vitamin E),To Preserve Freshness,Water,Monoglycerides Acetylated,BHT,Preservative,Datem,Flavor(s) Natural and Artificial Butter,Contains,Milk,Vitamin D,Vitamin A Palmitate,Glycerine,Pyridoxine Hydrochloride (HCL),Vitamin B6,Salt,Soy Lecithin,Thiamin Hydrochloride (Vitamin B1)",1 Bar,16,90,20,17,6,8,0,0,,,1,5,0,1,105,4,0,0,12.4 oz.
Duncan Hines Homestyle Buttercream Frosting,http://www.foodfacts.com/members/item_info.cfm?item=25426,"Sugar,Vegetable(s) Shortening,Soybean(s) Oil Partially Hydrogenated,Cottonseed Oil Partially Hydrogenated,Water,Corn Syrup,Contains 2% or less of the Following: (,Color(s) Artificial,Yellow 5,Red 40,Citric Acid,Corn Starch,Mono and Diglycerides,Flavor(s) Natural &amp;amp; Artificial,Polysorbate 60,Potassium Sorbate,To Protect Flavor,Salt,Sodium Acid Pyrophosphate,Sodium Citrate",(32g),14,140,50,22,7,21,0,0,5,8,,,0,0,60,3,0,0,16 oz.
Capri Sun 100% Berry Breeze Juice,http://www.foodfacts.com/members/item_info.cfm?item=47788,"Pear(s) Juice Concentrate,Grape(s) Juice Concentrate,Strawberry(ies) Juice Concentrate,Water,Pear(s) Juice Concentrate,Grape(s) Juice Concentrate,Strawberry(ies) Juice Concentrate,Citric Acid,Flavor(s) Natural",1 pouch,10,100,0,24,8,20,0,0,0,0,0,0,0,0,20,1,0,0,60 fl oz
Wild Thymes Caribbean Peach Lime Chutney,http://www.foodfacts.com/members/item_info.cfm?item=44838,"Peach(s),Apple(s),Sugar,Pineapple,Orange(s),Onion(s),Vinegar Cider ( Organic ),Ginger,Garlic,Pepper(s) Bell Red,and,Pepper(s) Bell Green,Raisin(s),Cilantro,Lime Juice,Spice(s),Salt Sea",1 tbsp,0,15,0,,,,,,0,0,0,0,0,,,,0,0,11 oz
Streit's Matzo Crackers,http://www.foodfacts.com/members/item_info.cfm?item=21427,"Wheat Flour,Water",3 pieces,10,54,0,11,4,0,0,0,0,0,0,0,0,1,0,0,0,0,5.3 oz
Mountain Dew Code Red Soda,http://www.foodfacts.com/members/item_info.cfm?item=47841,"Water Carbonated,Corn Syrup High Fructose,and/or,Sugar,Orange(s) Juice Concentrate,Citric Acid,Sodium Polyphosphate,Flavor(s) Natural,Sodium Benzoate,Caffeine,Sodium Citrate,Arabic Gum,Erythorbic Acid,Calcium Disodium EDTA,To Protect Flavor,Red 40,Potassium Benzoate,Vegetable(s) Oil Brominated,Yellow 5,Blue 1",8 fl oz,2.5,110,0,31,10,30,0,0,0,0,0,0,0,0,70,3,0,0,20 fl oz
Keebler Honey Graham Crackers,http://www.foodfacts.com/members/item_info.cfm?item=32744,"Flour Enriched,Wheat Flour,Niacin,Iron Reduced,Thiamine Mononitrate (Vitamin B1),Vitamin B1,Riboflavin (Vitamin B2),Vitamin B2,Folic Acid (Vitamin aB),Sugar,Cottonseed Oil Partially Hydrogenated,Soybean(s) Oil Partially Hydrogenated,TBHQ,To Preserve Freshness,Wheat Flour Whole,Graham Flour,Flour,Molasses,Honey,Corn Syrup,Corn Syrup High Fructose,Contains 2% or less of the Following: (,Calcium Carbonate,Salt,Leavening,Baking Soda,Sodium Acid Pyrophosphate,Monocalcium Phosphate,Soy Lecithin,Flavor(s) Artificial",8 Crackers,14,140,35,0,0,7,,,4,6,,,0,2,150,6,0,0,16 oz.
